page_url;category;file_name;link;magnet_link;size;date;seeders;leechers;completed_download
https://nyaa.si;Anime - Raw;[NanakoRaws] Witch Watch - 23 (BS4 4K 3840x2160 x265 AAC).mkv;/view/2023432;magnet:?xt=urn:btih:cb97fc896a582aa3f62bec2d64c23ff7fc4aa67a&dn=%5BNanakoRaws%5D%20Witch%20Watch%20-%2023%20%28BS4%204K%203840x2160%20x265%20AAC%29.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;1.5 GiB;2025-09-24 00:55;40;6;84
https://nyaa.si;Anime - Raw;[NanakoRaws] Dandadan S2 - 12 END (BS4 4K 3840x2160 x265 AAC).mkv;/view/2023431;magnet:?xt=urn:btih:bfafd74cb84930b6604f2fb3b3674c8d74537542&dn=%5BNanakoRaws%5D%20Dandadan%20S2%20-%2012%20END%20%28BS4%204K%203840x2160%20x265%20AAC%29.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;1.2 GiB;2025-09-24 00:55;61;9;140
https://nyaa.si;Literature - English-translated;A Couple of Cuckoos v01-25 (2021-2025) (Digital) (Stick);/view/2023430;magnet:?xt=urn:btih:dfbd73e6c5eef0fbab5d3a21570d800aacc901b9&dn=A%20Couple%20of%20Cuckoos%20v01-25%20%282021-2025%29%20%28Digital%29%20%28Stick%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;7.7 GiB;2025-09-24 00:53;47;19;102
https://nyaa.si;Anime - Raw;[NanakoRaws] Kakkou no Iinazuke S2 (1080p AAC);/view/2023429;magnet:?xt=urn:btih:477226a0516474aa7ce9012f45baf47186cfb359&dn=%5BNanakoRaws%5D%20Kakkou%20no%20Iinazuke%20S2%20%281080p%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;5.2 GiB;2025-09-24 00:52;6;17;17
https://nyaa.si;Anime - English-translated;[KawaSubs] The Fragrant Flower Blooms With Dignity - S01E12v2 [NF 1080p AVC AAC] [Eng-Sub] | Kaoru Hana wa Rin to Saku (v2);/view/2023428;magnet:?xt=urn:btih:ba57e2181a180692b57026101c8c827020df78e1&dn=%5BKawaSubs%5D%20The%20Fragrant%20Flower%20Blooms%20With%20Dignity%20-%20S01E12v2%20%5BNF%201080p%20AVC%20AAC%5D%20%5BEng-Sub%5D%20%7C%20Kaoru%20Hana%20wa%20Rin%20to%20Saku%20%28v2%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;910.7 MiB;2025-09-23 23:34;492;12;1229
https://nyaa.si;Audio - Lossless;[2025.09.24] tayori 2ndアルバム「magic」[FLAC 48kHz/24bit];/view/2023427;magnet:?xt=urn:btih:91dfd49806dced63b7da6f0ad5f510a5a85d34af&dn=%5B2025.09.24%5D%20tayori%202nd%E3%82%A2%E3%83%AB%E3%83%90%E3%83%A0%E3%80%8Cmagic%E3%80%8D%5BFLAC%2048kHz%2F24bit%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;669.6 MiB;2025-09-23 22:58;42;21;171
https://nyaa.si;Audio - Lossless;[2025.09.24] hololive ときのそら 5thアルバム「Pulse」[FLAC 48kHz/24bit];/view/2023426;magnet:?xt=urn:btih:a27eb925c6b41f59a679ed8c40924f9274080105&dn=%5B2025.09.24%5D%20hololive%20%E3%81%A8%E3%81%8D%E3%81%AE%E3%81%9D%E3%82%89%205th%E3%82%A2%E3%83%AB%E3%83%90%E3%83%A0%E3%80%8CPulse%E3%80%8D%5BFLAC%2048kHz%2F24bit%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;464.8 MiB;2025-09-23 22:58;61;19;214
https://nyaa.si;Audio - Lossless;[2025.09.24] 映画「俺ではない炎上」主題歌「おっかない」／WANIMA [FLAC 48kHz/24bit];/view/2023425;magnet:?xt=urn:btih:ea6ae83d95b696cd4085dcd6c82f470cd0034c75&dn=%5B2025.09.24%5D%20%E6%98%A0%E7%94%BB%E3%80%8C%E4%BF%BA%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%84%E7%82%8E%E4%B8%8A%E3%80%8D%E4%B8%BB%E9%A1%8C%E6%AD%8C%E3%80%8C%E3%81%8A%E3%81%A3%E3%81%8B%E3%81%AA%E3%81%84%E3%80%8D%EF%BC%8FWANIMA%20%5BFLAC%2048kHz%2F24bit%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;47.8 MiB;2025-09-23 22:58;31;10;148
https://nyaa.si;Audio - Lossless;[2025.09.24] TVアニメ「おそ松さん 4th Season」EDテーマ「バディ」／ひとみ from あたらよ&松野家6兄弟 [FLAC];/view/2023424;magnet:?xt=urn:btih:b8ec5aed2c31e0699c38c301cbddc451610950e0&dn=%5B2025.09.24%5D%20TV%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%8C%E3%81%8A%E3%81%9D%E6%9D%BE%E3%81%95%E3%82%93%204th%20Season%E3%80%8DED%E3%83%86%E3%83%BC%E3%83%9E%E3%80%8C%E3%83%90%E3%83%87%E3%82%A3%E3%80%8D%EF%BC%8F%E3%81%B2%E3%81%A8%E3%81%BF%20from%20%E3%81%82%E3%81%9F%E3%82%89%E3%82%88%26%E6%9D%BE%E9%87%8E%E5%AE%B66%E5%85%84%E5%BC%9F%20%5BFLAC%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;207.1 MiB;2025-09-23 22:58;34;10;134
https://nyaa.si;Audio - Lossless;[2025.09.24] TVアニメ「ぐらんぶる 2nd season」OPテーマ「青春永遠」／湘南乃風 feat. 新しい学校のリーダーズ [FLAC 96kHz/24bit];/view/2023423;magnet:?xt=urn:btih:fb87b917e8056a74368cf6ad9b813b43d842a2f6&dn=%5B2025.09.24%5D%20TV%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%8C%E3%81%90%E3%82%89%E3%82%93%E3%81%B6%E3%82%8B%202nd%20season%E3%80%8DOP%E3%83%86%E3%83%BC%E3%83%9E%E3%80%8C%E9%9D%92%E6%98%A5%E6%B0%B8%E9%81%A0%E3%80%8D%EF%BC%8F%E6%B9%98%E5%8D%97%E4%B9%83%E9%A2%A8%20feat.%20%E6%96%B0%E3%81%97%E3%81%84%E5%AD%A6%E6%A0%A1%E3%81%AE%E3%83%AA%E3%83%BC%E3%83%80%E3%83%BC%E3%82%BA%20%5BFLAC%2096kHz%2F24bit%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;88.8 MiB;2025-09-23 22:58;44;8;235
