page_url;category;file_name;link;magnet_link;size;date;seeders;leechers;completed_download
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[Erai-raws] Bocchi the Rock! - Recap Part 2 [720p CR WEB-DL AVC EAC3][MultiSub][22C61A62];/view/1935465;magnet:?xt=urn:btih:42d8ec637700e77c24371721d75664413033b485&dn=%5BErai-raws%5D%20Bocchi%20the%20Rock%21%20-%20Recap%20Part%202%20%5B720p%20CR%20WEB-DL%20AVC%20EAC3%5D%5BMultiSub%5D%5B22C61A62%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;2.2 GiB;2025-02-14 06:59;4;0;595
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;1[Erai-raws] Bocchi the Rock! - Recap Part 2 [1080p CR WEB-DL AVC EAC3][MultiSub][B5412793];/view/1935464#comments;magnet:?xt=urn:btih:e2d5cd0b2aa8ddbc17c043329cccb615e3a7e0a1&dn=%5BErai-raws%5D%20Bocchi%20the%20Rock%21%20-%20Recap%20Part%202%20%5B1080p%20CR%20WEB-DL%20AVC%20EAC3%5D%5BMultiSub%5D%5BB5412793%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;4.3 GiB;2025-02-14 06:58;13;0;1125
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[Erai-raws] Bocchi the Rock! - Recap Part 1 [480p CR WEB-DL AVC EAC3][MultiSub][C769F02C];/view/1935461;magnet:?xt=urn:btih:ab8d458cc088905cf6a51d3feb75df0fb07d82b1&dn=%5BErai-raws%5D%20Bocchi%20the%20Rock%21%20-%20Recap%20Part%201%20%5B480p%20CR%20WEB-DL%20AVC%20EAC3%5D%5BMultiSub%5D%5BC769F02C%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;1.4 GiB;2025-02-14 06:49;1;0;271
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[Erai-raws] Bocchi the Rock! - Recap Part 1 [720p CR WEB-DL AVC EAC3][MultiSub][CFF56779];/view/1935460;magnet:?xt=urn:btih:92bf91afcf7b4da8fe65783f8a01113ef7c2fa63&dn=%5BErai-raws%5D%20Bocchi%20the%20Rock%21%20-%20Recap%20Part%201%20%5B720p%20CR%20WEB-DL%20AVC%20EAC3%5D%5BMultiSub%5D%5BCFF56779%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;2.6 GiB;2025-02-14 06:48;4;0;593
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;1[Erai-raws] Bocchi the Rock! - Recap Part 1 [1080p CR WEB-DL AVC EAC3][MultiSub][777997C8];/view/1935459#comments;magnet:?xt=urn:btih:4a7de72af3696eaa6b5da4d32d3e1bf149e98c7f&dn=%5BErai-raws%5D%20Bocchi%20the%20Rock%21%20-%20Recap%20Part%201%20%5B1080p%20CR%20WEB-DL%20AVC%20EAC3%5D%5BMultiSub%5D%5B777997C8%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;5.1 GiB;2025-02-14 06:47;14;0;1232
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;1BOCCHI THE ROCK S06E00 BOCCHI THE ROCK Recap Part 2 1080p CR WEB-DL AAC2.0 H 264-VARYG (Bocchi the Rock!, Multi-Subs);/view/1935429#comments;magnet:?xt=urn:btih:05aa7bf3b89c086dfc53fe9a9ad71548f86d9d65&dn=BOCCHI%20THE%20ROCK%20S06E00%20BOCCHI%20THE%20ROCK%20Recap%20Part%202%201080p%20CR%20WEB-DL%20AAC2.0%20H%20264-VARYG%20%28Bocchi%20the%20Rock%21%2C%20Multi-Subs%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;4.3 GiB;2025-02-14 03:22;6;0;248
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;Bocchi the Rock! Re Re (2024) 1080p WEB x264 E-AC-3 -Tsundere-Raws (CUSTOM) (VOSTFR, Multi-Subs, Bocchi the Rock! Movie);/view/1935423;magnet:?xt=urn:btih:fef672253103c88907e7b99da289ad650acb8133&dn=Bocchi%20the%20Rock%21%20Re%20Re%20%282024%29%201080p%20WEB%20x264%20E-AC-3%20-Tsundere-Raws%20%28CUSTOM%29%20%28VOSTFR%2C%20Multi-Subs%2C%20Bocchi%20the%20Rock%21%20Movie%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;4.3 GiB;2025-02-14 02:09;6;0;504
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;Bocchi the Rock! Re (2024) 1080p WEB x264 E-AC-3 -Tsundere-Raws (CUSTOM) (VOSTFR, Multi-Subs, Bocchi the Rock! Movie);/view/1935420;magnet:?xt=urn:btih:0d312cffb266c7389e98071d5b197d1d2a4b8617&dn=Bocchi%20the%20Rock%21%20Re%20%282024%29%201080p%20WEB%20x264%20E-AC-3%20-Tsundere-Raws%20%28CUSTOM%29%20%28VOSTFR%2C%20Multi-Subs%2C%20Bocchi%20the%20Rock%21%20Movie%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;5.1 GiB;2025-02-14 01:50;6;0;544
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[ToonsHub] BOCCHI THE ROCK! Recap Part 2 (2024) 1080p CR WEB-DL AAC2.0 H.264 (Bocchi the Rock! Re:Re:, Multi-Subs);/view/1935414;magnet:?xt=urn:btih:6235f6e6f79132c9bb8671cd781a28c476b72638&dn=%5BToonsHub%5D%20BOCCHI%20THE%20ROCK%21%20Recap%20Part%202%20%282024%29%201080p%20CR%20WEB-DL%20AAC2.0%20H.264%20%28Bocchi%20the%20Rock%21%20Re%3ARe%3A%2C%20Multi-Subs%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;4.3 GiB;2025-02-14 01:13;11;0;517
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[ToonsHub] BOCCHI THE ROCK! Recap Part 1 (2024) 1080p CR WEB-DL AAC2.0 H.264 (Bocchi the Rock! Re:, Multi-Subs);/view/1935413;magnet:?xt=urn:btih:b7ff8035059db8fb12b21b01c886493ad0b11ea3&dn=%5BToonsHub%5D%20BOCCHI%20THE%20ROCK%21%20Recap%20Part%201%20%282024%29%201080p%20CR%20WEB-DL%20AAC2.0%20H.264%20%28Bocchi%20the%20Rock%21%20Re%3A%2C%20Multi-Subs%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;5.1 GiB;2025-02-14 01:08;14;0;500
